water_saturation,water_relative_permeability,oil_relative_permeability,water_oil_capillary_pressure,iteration,N_w,N_o,coef_water,day,well_type,oil_prod,water_prod,gas_prod,res_vol_prod,oil_inj,water_inj,gas_inj,res_vol_inj
0.12,0.0,0.7727072919963506,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252772.3
0.18,0.07,0.6701197054276788,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,PROD,44654.9,57.5,353.5,289188.3,0.0,0.0,0.0,0.0
0.18,0.07,0.6701197054276788,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252772.3
0.24,0.1,0.5748929427554477,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,PROD,44654.9,57.5,353.5,289188.3,0.0,0.0,0.0,0.0
0.24,0.1,0.5748929427554477,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252772.3
0.3,0.14,0.48701742682607685,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,PROD,44654.9,57.5,353.5,289188.3,0.0,0.0,0.0,0.0
0.3,0.14,0.48701742682607685,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252772.3
0.36,0.18,0.4064828048209676,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,PROD,44654.9,57.5,353.5,289188.3,0.0,0.0,0.0,0.0
0.36,0.18,0.4064828048209676,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252772.3
0.42,0.23,0.33327780985556477,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,PROD,44654.9,57.5,353.5,289188.3,0.0,0.0,0.0,0.0
0.42,0.23,0.33327780985556477,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252772.3
0.48,0.28,0.26739008165555683,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,PROD,44654.9,57.5,353.5,289188.3,0.0,0.0,0.0,0.0
0.48,0.28,0.26739008165555683,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252772.3
0.54,0.33,0.20880592832083092,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,PROD,44654.9,57.5,353.5,289188.3,0.0,0.0,0.0,0.0
0.54,0.33,0.20880592832083092,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252772.3
0.6,0.39,0.1575100000237472,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,PROD,44654.9,57.5,353.5,289188.3,0.0,0.0,0.0,0.0
0.6,0.39,0.1575100000237472,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252772.3
0.66,0.44,0.11348482477373636,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,PROD,44654.9,57.5,353.5,289188.3,0.0,0.0,0.0,0.0
0.66,0.44,0.11348482477373636,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252772.3
0.72,0.5,0.07671011491094068,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,PROD,44654.9,57.5,353.5,289188.3,0.0,0.0,0.0,0.0
0.72,0.5,0.07671011491094068,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252772.3
0.78,0.57,0.047161661319348916,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,PROD,44654.9,57.5,353.5,289188.3,0.0,0.0,0.0,0.0
0.78,0.57,0.047161661319348916,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252772.3
0.84,0.63,0.024809400107480846,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,PROD,44654.9,57.5,353.5,289188.3,0.0,0.0,0.0,0.0
0.84,0.63,0.024809400107480846,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252772.3
0.91,0.71,0.00777291588707592,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,PROD,44654.9,57.5,353.5,289188.3,0.0,0.0,0.0,0.0
0.91,0.71,0.00777291588707592,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252772.3
1.0,0.82,0.0,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,PROD,44654.9,57.5,353.5,289188.3,0.0,0.0,0.0,0.0
1.0,0.82,0.0,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252772.3
0.12,0.0,0.5362481293140516,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,PROD,43428.7,34.9,350.9,285542.2,0.0,0.0,0.0,0.0
0.12,0.0,0.5362481293140516,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252900.1
0.18,0.03,0.38006890931993315,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,PROD,43428.7,34.9,350.9,285542.2,0.0,0.0,0.0,0.0
0.18,0.03,0.38006890931993315,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252900.1
0.24,0.04,0.26241802544630793,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,PROD,43428.7,34.9,350.9,285542.2,0.0,0.0,0.0,0.0
0.24,0.04,0.26241802544630793,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252900.1
0.3,0.06,0.17574725765328986,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,PROD,43428.7,34.9,350.9,285542.2,0.0,0.0,0.0,0.0
0.3,0.06,0.17574725765328986,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252900.1
0.36,0.08,0.11354602429469147,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,PROD,43428.7,34.9,350.9,285542.2,0.0,0.0,0.0,0.0
0.36,0.08,0.11354602429469147,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252900.1
0.42,0.1,0.0702693370996215,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,PROD,43428.7,34.9,350.9,285542.2,0.0,0.0,0.0,0.0
0.42,0.1,0.0702693370996215,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252900.1
0.48,0.12,0.04126497545130046,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,PROD,43428.7,34.9,350.9,285542.2,0.0,0.0,0.0,0.0
0.48,0.12,0.04126497545130046,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252900.1
0.54,0.14,0.02269979637602377,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,PROD,43428.7,34.9,350.9,285542.2,0.0,0.0,0.0,0.0
0.54,0.14,0.02269979637602377,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252900.1
0.6,0.16,0.01148507787193759,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,PROD,43428.7,34.9,350.9,285542.2,0.0,0.0,0.0,0.0
0.6,0.16,0.01148507787193759,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252900.1
0.66,0.19,0.005200767434484749,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,PROD,43428.7,34.9,350.9,285542.2,0.0,0.0,0.0,0.0
0.66,0.19,0.005200767434484749,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252900.1
0.72,0.22,0.002018470939927515,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,PROD,43428.7,34.9,350.9,285542.2,0.0,0.0,0.0,0.0
0.72,0.22,0.002018470939927515,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252900.1
0.78,0.24,0.000622962272721839,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,PROD,43428.7,34.9,350.9,285542.2,0.0,0.0,0.0,0.0
0.78,0.24,0.000622962272721839,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252900.1
0.84,0.27,0.00013190701372447052,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,PROD,43428.7,34.9,350.9,285542.2,0.0,0.0,0.0,0.0
0.84,0.27,0.00013190701372447052,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252900.1
0.91,0.3,7.983119922171153e-06,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,PROD,43428.7,34.9,350.9,285542.2,0.0,0.0,0.0,0.0
0.91,0.3,7.983119922171153e-06,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252900.1
